claim_id,claim_open_date,claim_close_date,date_key_open,date_key_close,customer_id,product_id,supplier_id,root_cause_id,location_id,claim_status,severity_level,cost_impact_usd,quantity_affected,days_to_close,recurrence_flag,claim_type,inspection_stage,defect_code,detected_by,business_unit
CLM000001,2024-12-23,,20241223,,CUST052,PROD006,SUP009,RC003,LOC008,Open,High,24208.52,19,,0,Internal Event,Incoming,D020,Inspection,Operations
CLM000002,2024-04-05,,20240405,,CUST028,PROD009,SUP016,RC004,LOC006,Open,Medium,6472.07,27,,0,Customer Claim,Process,D006,Inspection,Operations
CLM000003,2024-04-10,,20240410,,CUST027,PROD022,SUP018,RC008,LOC007,Open,High,25000.0,18,,0,Internal Event,Logistics,D006,Customer,Operations
CLM000004,2025-04-22,2025-06-01,20250422,20250601,CUST050,PROD016,SUP004,RC001,LOC006,Closed,Medium,3135.31,18,40,0,Customer Claim,Customer Site,D001,System,Operations
CLM000005,2023-09-13,2023-10-22,20230913,20231022,CUST016,PROD023,SUP010,RC012,LOC008,Closed,Medium,6386.06,23,39,0,Customer Claim,Customer Site,D020,Customer,Industrial
CLM000006,2024-08-11,2024-08-17,20240811,20240817,CUST018,PROD017,SUP009,RC008,LOC003,Closed,Low,376.59,21,6,1,Customer Claim,Logistics,D006,Operator,Operations
CLM000007,2025-09-17,2025-09-25,20250917,20250925,CUST047,PROD022,SUP014,RC010,LOC004,Closed,Medium,6122.16,19,8,0,Customer Claim,Final Inspection,D017,Customer,Supply Chain
CLM000008,2023-07-04,2023-07-17,20230704,20230717,CUST036,PROD023,SUP017,RC005,LOC003,Closed,Low,891.52,17,13,0,Customer Claim,Customer Site,D014,Operator,Operations
CLM000009,2024-11-12,2024-11-13,20241112,20241113,CUST009,PROD007,SUP012,RC010,LOC007,Closed,Low,312.14,15,1,1,Customer Claim,Process,D016,Operator,Operations
CLM000010,2023-04-26,2023-06-05,20230426,20230605,CUST057,PROD004,SUP011,RC002,LOC006,Closed,Medium,8000.0,20,40,0,Customer Claim,Customer Site,D007,Inspection,Operations
CLM000011,2026-10-27,2026-11-10,20261027,20261110,CUST026,PROD015,SUP014,RC006,LOC003,Closed,Low,896.59,16,14,0,Internal Event,Customer Site,D018,Operator,Industrial
CLM000012,2026-09-23,2026-09-26,20260923,20260926,CUST051,PROD021,SUP011,RC005,LOC008,Closed,Low,718.39,18,3,1,Internal Event,Final Inspection,D020,Inspection,Operations
CLM000013,2026-06-20,,20260620,,CUST054,PROD021,SUP013,RC009,LOC002,Open,Low,564.13,25,,0,Internal Event,Logistics,D004,Inspection,Operations
CLM000014,2025-06-18,2025-09-14,20250618,20250914,CUST006,PROD008,SUP012,RC007,LOC007,Closed,High,25000.0,19,88,0,Internal Event,Incoming,D018,Customer,Supply Chain
